Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00       82     0.00     0.00  std::_Head_base<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, false>::_M_head(std::_Head_base<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, false>&)
  0.00      0.06     0.00       82     0.00     0.00  std::unique_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~unique_ptr()
  0.00      0.06     0.00       82     0.00     0.00  std::_Tuple_impl<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_head(std::_Tuple_impl<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      0.06     0.00       82     0.00     0.00  std::__uniq_ptr_impl<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr()
  0.00      0.06     0.00       82     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*& std::__get_helper<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::_Tuple_impl<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      0.06     0.00       82     0.00     0.00  std::tuple_element<0ul, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::type& std::get<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::default_delete<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      0.06     0.00       69     0.00     0.19  std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >::~pair()
  0.00      0.06     0.00       65     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.06     0.00       58     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > >(__gnu_cxx::__normal_iterator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > > const&, __gnu_cxx::__normal_iterator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > > const&)
  0.00      0.06     0.00       58     0.00     0.00  std::__shared_ptr<std::vector<unsigned char, std::allocator<unsigned char> >, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  0.00      0.06     0.00       58     0.00     0.00  std::__shared_ptr<std::vector<unsigned char, std::allocator<unsigned char> >, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.06     0.00       46     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > >::operator++()
  0.00      0.06     0.00       46     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > >::operator*() const
  0.00      0.06     0.00       46     0.00     0.78  std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >::pair(std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00       46     0.00     0.78  void std::_Construct<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const&>(std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >*, std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00       46     0.00     0.00  std::remove_reference<std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl&>::type&& std::move<std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl&>(std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl&)
  0.00      0.06     0.00       46     0.00     0.00  std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const& std::forward<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const&>(std::remove_reference<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const&>::type&)
  0.00      0.06     0.00       46     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.00      0.06     0.00       46     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >&& std::forward<std::vector<unsigned char, std::allocator<unsigned char> > >(std::remove_reference<std::vector<unsigned char, std::allocator<unsigned char> > >::type&)
