Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00   116476     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned char>, unsigned char>::_S_select_on_copy(std::allocator<unsigned char> const&)
  0.00      0.06     0.00   116476     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::select_on_container_copy_construction(std::allocator<unsigned char> const&)
  0.00      0.06     0.00   116476     0.00     0.00  unsigned char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00   116476     0.00     0.00  unsigned char* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00   116476     0.00     0.00  unsigned char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00   116476     0.00     0.00  unsigned char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*, unsigned char>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00   116476     0.00     0.00  unsigned char* std::copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00   116442     0.00     0.00  unsigned char* std::vector<unsigned char, std::allocator<unsigned char> >::_M_data_ptr<unsigned char>(unsigned char*) const
  0.00      0.06     0.00    77695     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator()
  0.00      0.06     0.00    77695     0.00     0.00  std::allocator<unsigned char>::allocator()
  0.00      0.06     0.00    77689     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.06     0.00    77672     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::_Vector_impl()
  0.00      0.06     0.00    77672     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base()
  0.00      0.06     0.00    77666     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_do_relocate(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&, std::integral_constant<bool, true>)
  0.00      0.06     0.00    77666     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.06     0.00    77666     0.00     0.00  unsigned char* std::__relocate_a<unsigned char*, unsigned char*, std::allocator<unsigned char> >(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    77666     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<unsigned char, void>::value, unsigned char*>::type std::__relocate_a_1<unsigned char, unsigned char>(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    77641     0.00     0.00  unsigned char* std::__fill_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&, std::random_access_iterator_tag)
  0.00      0.06     0.00    77641     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.06     0.00    77641     0.00     0.00  std::iterator_traits<unsigned char*>::iterator_category std::__iterator_category<unsigned char*>(unsigned char* const&)
  0.00      0.06     0.00    77641     0.00     0.00  unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&)
  0.00      0.06     0.00    77641     0.00     0.00  void std::__fill_a<unsigned char*, unsigned char>(unsigned char*, unsigned char*, unsigned char const&)
  0.00      0.06     0.00    77641     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<unsigned char>::__value, void>::__type std::__fill_a1<unsigned char>(unsigned char*, unsigned char*, unsigned char const&)
  0.00      0.06     0.00    77637     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_check_len(unsigned long, char const*) const
  0.00      0.06     0.00    77637     0.00     0.00  unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00      0.06     0.00    77637     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_relocate(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    77637     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_use_relocate()
  0.00      0.06     0.00    77637     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long)
  0.00      0.06     0.00    77637     0.00     0.00  void std::_Construct<unsigned char>(unsigned char*)
  0.00      0.06     0.00    77637     0.00     0.00  unsigned char* std::__addressof<unsigned char>(unsigned char&)
  0.00      0.06     0.00    77637     0.00     0.00  unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00      0.06     0.00    77637     0.00     0.00  unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&)
  0.00      0.06     0.00    77637     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.06     0.00      116     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > >::base() const
  0.00      0.06     0.00       93     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.06     0.00       92     0.00     0.00  std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >* std::__addressof<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > >(std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >&)
  0.00      0.06     0.00       92     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.06     0.00       82     0.00     0.00  testing::AssertionResult::~AssertionResult()
  0.00      0.06     0.00       82     0.00     0.00  testing::AssertionResult::operator bool() const
